Wavelength (nm),Intensity
394.27,1020.4000
394.56,1017.0000
394.85,1020.6000
395.14,1004.0000
395.44,1005.6000
395.73,1003.2000
396.02,988.0000
396.31,1007.8000
396.61,1001.2000
396.90,985.2000
397.19,1011.4000
397.48,1015.8000
397.77,987.6000
398.06,1004.4000
398.36,1005.2000
398.65,999.0000
398.94,994.2000
399.23,987.4000
399.52,996.8000
399.82,1004.2000
400.11,998.4000
400.40,1017.0000
400.69,995.8000
400.98,1002.6000
401.27,1016.6000
401.57,985.8000
401.86,1005.2000
402.15,996.4000
402.44,999.0000
402.73,990.4000
403.02,1005.4000
403.32,995.4000
403.61,995.8000
403.90,994.0000
404.19,1007.0000
404.48,1010.8000
404.77,1008.0000
405.06,1006.0000
405.36,1022.0000
405.65,1010.0000
405.94,981.6000
406.23,1015.4000
406.52,1021.2000
406.81,1018.4000
407.10,1007.0000
407.40,1019.2000
407.69,1006.2000
407.98,1005.4000
408.27,1002.4000
408.56,990.4000
408.85,1036.6000
409.14,992.2000
409.43,1014.4000
409.72,992.2000
410.02,1038.0000
410.31,993.6000
410.60,1004.6000
410.89,1016.8000
411.18,1005.8000
411.47,995.2000
411.76,1001.4000
412.05,995.4000
412.34,999.8000
412.63,991.6000
412.93,1041.8000
413.22,1014.6000
413.51,995.0000
413.80,1013.8000
414.09,984.4000
414.38,993.8000
414.67,1019.4000
414.96,987.6000
415.25,1032.6000
415.54,1012.8000
415.83,973.0000
416.12,979.8000
416.41,980.4000
416.70,1016.2000
417.00,998.2000
417.29,1003.0000
417.58,1007.2000
417.87,1011.2000
418.16,1017.6000
418.45,991.0000
418.74,998.0000
419.03,1003.6000
419.32,1023.8000
419.61,1011.4000
419.90,1015.2000
420.19,1008.6000
420.48,1002.0000
420.77,985.4000
421.06,987.8000
421.35,999.4000
421.64,997.8000
421.93,979.2000
422.22,1001.2000
422.51,1030.2000
422.80,1013.4000
423.09,987.8000
423.38,1019.8000
423.67,998.4000
423.96,985.2000
424.25,1007.6000
424.54,994.0000
424.83,969.6000
425.12,994.6000
425.41,1006.2000
425.70,1062.6000
425.99,1000.4000
426.28,1006.2000
426.57,1008.2000
426.86,996.4000
427.15,1010.0000
427.44,1022.2000
427.73,1021.6000
428.02,1000.6000
428.31,1007.2000
428.60,1015.2000
428.89,1006.2000
429.18,1011.6000
429.47,1010.4000
429.76,984.6000
430.05,988.8000
430.34,1012.4000
430.63,999.2000
430.92,1027.8000
431.21,1010.6000
431.50,978.4000
431.79,990.0000
432.08,996.4000
432.37,991.2000
432.66,996.6000
432.94,999.0000
433.23,1005.4000
433.52,1009.2000
433.81,1017.0000
434.10,1059.8000
434.39,1006.8000
434.68,1021.6000
434.97,991.0000
435.26,987.0000
435.55,1005.4000
435.84,1002.2000
436.13,1000.2000
436.42,1017.8000
436.71,1003.8000
436.99,990.0000
437.28,1002.4000
437.57,1012.4000
437.86,997.0000
438.15,1007.2000
438.44,992.8000
438.73,1003.8000
439.02,1016.4000
439.31,1022.8000
439.60,998.8000
439.88,1003.6000
440.17,1013.0000
440.46,1013.4000
440.75,983.0000
441.04,983.2000
441.33,1018.2000
441.62,1007.6000
441.91,985.2000
442.20,997.4000
442.48,1010.2000
442.77,988.6000
443.06,1005.8000
443.35,988.8000
443.64,1009.2000
443.93,980.8000
444.22,995.6000
444.50,1013.4000
444.79,1003.0000
445.08,999.4000
445.37,1013.8000
445.66,991.4000
445.95,983.6000
446.24,987.0000
446.52,1000.8000
446.81,1029.6000
447.10,983.6000
447.39,1010.4000
447.68,995.0000
447.97,986.0000
448.25,1012.6000
448.54,1014.2000
448.83,1007.6000
449.12,1027.2000
449.41,1000.6000
449.69,1014.0000
449.98,991.6000
450.27,995.6000
450.56,995.4000
450.85,1013.2000
451.14,985.6000
451.42,998.8000
451.71,1005.0000
452.00,995.4000
452.29,1016.0000
452.58,999.0000
452.86,997.2000
453.15,996.6000
453.44,1004.4000
453.73,1004.6000
454.01,991.6000
454.30,1049.4000
454.59,984.4000
454.88,986.6000
455.17,973.0000
455.45,992.0000
455.74,1015.0000
456.03,995.4000
456.32,998.2000
456.60,1002.0000
456.89,1002.0000
457.18,987.4000
457.47,981.4000
457.76,994.0000
458.04,994.4000
458.33,1002.8000
458.62,994.6000
458.91,973.0000
459.19,976.0000
459.48,981.2000
459.77,988.0000
460.06,992.4000
460.34,996.0000
460.63,990.0000
460.92,991.2000
461.20,992.8000
461.49,1003.0000
461.78,987.0000
462.07,977.4000
462.35,1001.4000
462.64,1002.4000
462.93,1012.0000
463.22,1013.2000
463.50,1002.6000
463.79,1008.8000
464.08,1023.0000
464.36,997.2000
464.65,994.0000
464.94,992.4000
465.22,999.2000
465.51,999.4000
465.80,1028.8000
466.09,991.2000
466.37,1017.4000
466.66,1018.2000
466.95,989.0000
467.23,997.4000
467.52,996.6000
467.81,1030.8000
468.09,988.4000
468.38,1001.2000
468.67,1031.8000
468.95,989.6000
469.24,986.0000
469.53,1000.0000
469.81,998.8000
470.10,991.8000
470.39,1011.2000
470.67,993.2000
470.96,1002.6000
471.25,985.6000
471.53,1010.6000
471.82,1006.0000
472.11,997.8000
472.39,990.2000
472.68,994.2000
472.97,986.8000
473.25,994.4000
473.54,995.8000
473.82,990.2000
474.11,1005.6000
474.40,998.8000
474.68,1029.2000
474.97,1017.2000
475.26,992.2000
475.54,983.4000
475.83,998.4000
476.11,1005.4000
476.40,1015.6000
476.69,998.2000
476.97,1001.0000
477.26,1004.2000
477.55,1022.2000
477.83,969.2000
478.12,990.8000
478.40,1006.8000
478.69,998.6000
478.98,999.6000
479.26,990.0000
479.55,1003.2000
479.83,987.4000
480.12,1002.0000
480.40,1005.8000
480.69,994.4000
480.98,992.8000
481.26,1019.8000
481.55,991.6000
481.83,993.2000
482.12,986.2000
482.41,999.8000
482.69,977.2000
482.98,1015.6000
483.26,1023.8000
483.55,989.6000
483.83,995.8000
484.12,996.8000
484.40,991.6000
484.69,973.2000
484.98,1007.6000
485.26,992.6000
485.55,994.2000
485.83,984.0000
486.12,1012.8000
486.40,1001.8000
486.69,992.0000
486.97,999.2000
487.26,1011.0000
487.54,992.6000
487.83,988.2000
488.11,997.0000
488.40,1018.2000
488.68,1009.2000
488.97,1001.8000
489.26,998.0000
489.54,1016.6000
489.83,1006.2000
490.11,1001.2000
490.40,1010.4000
490.68,1001.4000
490.97,985.2000
491.25,990.6000
491.54,984.8000
491.82,1013.6000
492.11,1011.4000
492.39,1018.8000
492.68,999.4000
492.96,1013.4000
493.24,987.4000
493.53,987.4000
493.81,1028.8000
494.10,983.6000
494.38,985.4000
494.67,1001.8000
494.95,1024.4000
495.24,985.4000
495.52,1003.6000
495.81,1006.0000
496.09,1005.0000
496.38,974.2000
496.66,1012.0000
496.95,1009.8000
497.23,989.4000
497.51,978.4000
497.80,1003.6000
498.08,988.6000
498.37,981.8000
