Wavelength (nm),Intensity
394.27,938.4000
394.56,923.0000
394.85,938.4000
395.14,932.2000
395.44,931.6000
395.73,937.8000
396.02,920.6000
396.31,932.2000
396.61,928.4000
396.90,915.2000
397.19,929.6000
397.48,934.2000
397.77,917.8000
398.06,918.8000
398.36,929.0000
398.65,920.2000
398.94,916.8000
399.23,918.2000
399.52,925.6000
399.82,931.2000
400.11,929.0000
400.40,941.2000
400.69,925.4000
400.98,922.6000
401.27,927.8000
401.57,905.2000
401.86,928.4000
402.15,923.6000
402.44,932.6000
402.73,918.8000
403.02,932.0000
403.32,912.4000
403.61,933.2000
403.90,910.0000
404.19,937.2000
404.48,935.0000
404.77,933.8000
405.06,929.0000
405.36,937.8000
405.65,931.0000
405.94,911.2000
406.23,930.2000
406.52,940.6000
406.81,943.0000
407.10,936.0000
407.40,930.6000
407.69,934.8000
407.98,929.6000
408.27,930.0000
408.56,924.0000
408.85,944.0000
409.14,925.8000
409.43,937.4000
409.72,921.6000
410.02,954.2000
410.31,932.6000
410.60,934.6000
410.89,941.2000
411.18,932.0000
411.47,926.8000
411.76,939.8000
412.05,924.2000
412.34,934.4000
412.63,926.2000
412.93,962.6000
413.22,951.6000
413.51,928.8000
413.80,946.6000
414.09,926.0000
414.38,931.0000
414.67,935.6000
414.96,928.6000
415.25,959.4000
415.54,943.6000
415.83,928.0000
416.12,926.2000
416.41,921.4000
416.70,944.2000
417.00,945.2000
417.29,946.8000
417.58,942.8000
417.87,942.4000
418.16,954.4000
418.45,935.2000
418.74,947.8000
419.03,937.4000
419.32,957.4000
419.61,953.4000
419.90,951.6000
420.19,947.4000
420.48,947.0000
420.77,931.6000
421.06,934.0000
421.35,949.6000
421.64,944.6000
421.93,941.4000
422.22,941.2000
422.51,965.4000
422.80,953.2000
423.09,951.2000
423.38,966.4000
423.67,951.6000
423.96,941.2000
424.25,955.0000
424.54,956.2000
424.83,938.6000
425.12,960.4000
425.41,947.2000
425.70,1004.4000
425.99,960.2000
426.28,964.4000
426.57,960.6000
426.86,961.8000
427.15,967.4000
427.44,982.4000
427.73,974.0000
428.02,976.0000
428.31,984.8000
428.60,978.6000
428.89,974.6000
429.18,977.6000
429.47,984.6000
429.76,976.0000
430.05,978.6000
430.34,990.6000
430.63,982.0000
430.92,996.8000
431.21,1002.4000
431.50,1001.2000
431.79,1006.8000
432.08,1000.0000
432.37,1003.6000
432.66,1009.0000
432.94,1010.0000
433.23,1030.2000
433.52,1030.8000
433.81,1027.6000
434.10,1059.2000
434.39,1050.4000
434.68,1040.6000
434.97,1035.6000
435.26,1053.2000
435.55,1059.8000
435.84,1066.2000
436.13,1064.4000
436.42,1081.6000
436.71,1073.0000
436.99,1069.4000
437.28,1077.6000
437.57,1098.0000
437.86,1100.2000
438.15,1113.8000
438.44,1103.4000
438.73,1133.0000
439.02,1140.8000
439.31,1156.2000
439.60,1134.8000
439.88,1164.0000
440.17,1178.6000
440.46,1194.4000
440.75,1189.0000
441.04,1195.6000
441.33,1226.6000
441.62,1235.8000
441.91,1243.0000
442.20,1276.8000
442.48,1280.2000
442.77,1300.8000
443.06,1315.0000
443.35,1327.2000
443.64,1357.0000
443.93,1363.6000
444.22,1385.8000
444.50,1430.8000
444.79,1446.8000
445.08,1473.8000
445.37,1495.6000
445.66,1493.0000
445.95,1521.2000
446.24,1555.8000
446.52,1576.2000
446.81,1629.0000
447.10,1617.2000
447.39,1660.8000
447.68,1678.0000
447.97,1691.0000
448.25,1758.8000
448.54,1770.0000
448.83,1793.0000
449.12,1820.0000
449.41,1815.2000
449.69,1838.0000
449.98,1856.0000
450.27,1890.8000
450.56,1885.2000
450.85,1908.4000
451.14,1904.6000
451.42,1905.8000
451.71,1937.0000
452.00,1930.8000
452.29,1915.2000
452.58,1925.2000
452.86,1920.6000
453.15,1899.2000
453.44,1906.8000
453.73,1908.4000
454.01,1896.8000
454.30,1929.6000
454.59,1848.6000
454.88,1835.4000
455.17,1830.6000
455.45,1803.8000
455.74,1819.0000
456.03,1776.0000
456.32,1749.0000
456.60,1732.6000
456.89,1718.2000
457.18,1691.8000
457.47,1694.4000
457.76,1672.4000
458.04,1646.8000
458.33,1625.2000
458.62,1622.4000
458.91,1587.6000
459.19,1579.2000
459.48,1574.6000
459.77,1548.6000
460.06,1549.2000
460.34,1541.8000
460.63,1535.4000
460.92,1527.2000
461.20,1522.4000
461.49,1526.4000
461.78,1478.6000
462.07,1495.4000
462.35,1499.6000
462.64,1507.0000
462.93,1496.6000
463.22,1493.6000
463.50,1480.2000
463.79,1474.4000
464.08,1490.4000
464.36,1457.6000
464.65,1462.2000
464.94,1468.2000
465.22,1471.4000
465.51,1457.0000
465.80,1458.4000
466.09,1439.2000
466.37,1457.8000
466.66,1462.6000
466.95,1441.0000
467.23,1438.6000
467.52,1432.4000
467.81,1432.0000
468.09,1430.8000
468.38,1416.0000
468.67,1423.8000
468.95,1398.6000
469.24,1368.2000
469.53,1388.2000
469.81,1377.8000
470.10,1371.2000
470.39,1365.8000
470.67,1354.8000
