Wavelength (nm),Intensity
394.27,944.0000
394.56,925.2000
394.85,931.8000
395.14,924.2000
395.44,934.6000
395.73,928.0000
396.02,904.8000
396.31,922.4000
396.61,925.0000
396.90,919.0000
397.19,932.0000
397.48,923.8000
397.77,918.4000
398.06,931.0000
398.36,918.0000
398.65,918.8000
398.94,921.0000
399.23,916.6000
399.52,918.8000
399.82,926.0000
400.11,915.6000
400.40,931.6000
400.69,924.8000
400.98,924.6000
401.27,923.0000
401.57,899.2000
401.86,925.2000
402.15,930.4000
402.44,920.8000
402.73,918.8000
403.02,927.6000
403.32,908.8000
403.61,925.4000
403.90,923.4000
404.19,932.8000
404.48,934.8000
404.77,929.6000
405.06,939.8000
405.36,953.0000
405.65,931.2000
405.94,916.6000
406.23,938.4000
406.52,946.4000
406.81,939.0000
407.10,932.2000
407.40,934.4000
407.69,927.6000
407.98,930.6000
408.27,925.6000
408.56,915.6000
408.85,948.6000
409.14,925.8000
409.43,941.0000
409.72,926.2000
410.02,957.2000
410.31,926.8000
410.60,934.2000
410.89,948.0000
411.18,930.4000
411.47,936.8000
411.76,935.2000
412.05,924.2000
412.34,939.4000
412.63,930.8000
412.93,961.0000
413.22,938.2000
413.51,923.6000
413.80,933.0000
414.09,925.6000
414.38,928.6000
414.67,930.2000
414.96,923.8000
415.25,954.2000
415.54,944.0000
415.83,924.8000
416.12,933.0000
416.41,923.6000
416.70,938.4000
417.00,948.6000
417.29,926.6000
417.58,939.4000
417.87,932.0000
418.16,943.4000
418.45,939.2000
418.74,934.4000
419.03,932.2000
419.32,956.2000
419.61,944.2000
419.90,954.2000
420.19,945.8000
420.48,939.6000
420.77,929.2000
421.06,946.6000
421.35,962.4000
421.64,947.4000
421.93,928.8000
422.22,948.8000
422.51,958.6000
422.80,963.0000
423.09,949.4000
423.38,965.0000
423.67,962.0000
423.96,945.2000
424.25,945.2000
424.54,943.8000
424.83,941.6000
425.12,941.0000
425.41,950.6000
425.70,995.6000
425.99,956.8000
426.28,964.2000
426.57,970.2000
426.86,959.6000
427.15,970.0000
427.44,981.0000
427.73,973.0000
428.02,970.8000
428.31,976.4000
428.60,993.8000
428.89,979.8000
429.18,974.8000
429.47,980.8000
429.76,964.6000
430.05,975.2000
430.34,1002.4000
430.63,984.0000
430.92,1010.4000
431.21,989.4000
431.50,989.6000
431.79,1000.2000
432.08,994.2000
432.37,995.2000
432.66,1015.4000
432.94,1010.8000
433.23,1034.6000
433.52,1033.6000
433.81,1021.0000
434.10,1062.8000
434.39,1035.0000
434.68,1050.4000
434.97,1046.6000
435.26,1056.8000
435.55,1055.8000
435.84,1063.6000
436.13,1071.4000
436.42,1078.6000
436.71,1075.8000
436.99,1076.8000
437.28,1084.6000
437.57,1101.2000
437.86,1092.2000
438.15,1111.6000
438.44,1106.2000
438.73,1127.0000
439.02,1136.6000
439.31,1159.6000
439.60,1140.4000
439.88,1169.2000
440.17,1174.4000
440.46,1193.2000
440.75,1184.4000
441.04,1197.2000
441.33,1234.4000
441.62,1247.6000
441.91,1234.8000
442.20,1270.8000
442.48,1274.8000
442.77,1287.4000
443.06,1323.2000
443.35,1327.6000
443.64,1354.6000
443.93,1354.4000
444.22,1382.8000
444.50,1435.6000
444.79,1450.0000
445.08,1468.6000
445.37,1492.4000
445.66,1518.0000
445.95,1515.2000
446.24,1544.8000
446.52,1590.2000
446.81,1627.4000
447.10,1639.4000
447.39,1669.8000
447.68,1677.4000
447.97,1689.4000
448.25,1749.8000
448.54,1766.6000
448.83,1803.4000
449.12,1814.4000
449.41,1831.8000
449.69,1852.2000
449.98,1861.4000
450.27,1875.8000
450.56,1883.4000
450.85,1903.6000
451.14,1917.4000
451.42,1894.8000
451.71,1923.0000
452.00,1934.6000
452.29,1915.6000
452.58,1924.2000
452.86,1926.4000
453.15,1912.0000
453.44,1899.2000
453.73,1907.4000
454.01,1906.2000
454.30,1923.8000
454.59,1854.6000
454.88,1828.6000
455.17,1826.2000
455.45,1810.4000
455.74,1824.2000
456.03,1761.4000
456.32,1754.8000
456.60,1743.0000
456.89,1724.6000
457.18,1698.4000
457.47,1666.2000
457.76,1659.6000
458.04,1656.8000
458.33,1632.2000
458.62,1617.4000
458.91,1601.4000
459.19,1564.8000
459.48,1567.0000
459.77,1551.2000
460.06,1558.4000
460.34,1548.4000
460.63,1534.0000
460.92,1523.0000
461.20,1499.0000
461.49,1527.4000
461.78,1496.0000
462.07,1509.4000
462.35,1503.4000
462.64,1498.6000
462.93,1494.6000
463.22,1493.8000
463.50,1477.0000
463.79,1473.8000
464.08,1495.2000
464.36,1471.4000
464.65,1477.0000
464.94,1471.6000
465.22,1474.4000
465.51,1458.0000
465.80,1477.4000
466.09,1446.8000
466.37,1447.0000
466.66,1458.4000
466.95,1435.4000
467.23,1442.4000
467.52,1416.4000
467.81,1440.8000
468.09,1415.6000
468.38,1391.4000
468.67,1418.2000
468.95,1390.0000
469.24,1389.4000
469.53,1389.4000
469.81,1373.4000
470.10,1369.4000
470.39,1373.6000
470.67,1357.4000
470.96,1345.0000
471.25,1337.4000
471.53,1342.0000
471.82,1328.4000
472.11,1328.4000
472.39,1304.2000
472.68,1307.6000
472.97,1295.2000
473.25,1294.0000
473.54,1280.4000
473.82,1291.4000
474.11,1283.2000
474.40,1281.8000
474.68,1291.6000
474.97,1280.0000
475.26,1265.4000
475.54,1245.8000
475.83,1252.6000
476.11,1254.0000
476.40,1255.0000
476.69,1252.8000
476.97,1256.6000
477.26,1233.4000
477.55,1255.2000
477.83,1228.4000
478.12,1230.4000
478.40,1241.2000
478.69,1233.6000
478.98,1244.2000
479.26,1215.8000
479.55,1242.8000
479.83,1227.8000
480.12,1246.8000
480.40,1245.4000
480.69,1239.6000
480.98,1242.0000
481.26,1246.6000
481.55,1238.6000
481.83,1232.8000
482.12,1239.2000
482.41,1247.6000
482.69,1249.4000
482.98,1256.0000
483.26,1281.6000
483.55,1260.2000
483.83,1266.2000
484.12,1268.4000
484.40,1271.2000
484.69,1258.6000
484.98,1273.8000
485.26,1266.0000
485.55,1273.2000
485.83,1257.8000
486.12,1270.6000
486.40,1274.0000
486.69,1282.8000
486.97,1274.8000
487.26,1291.8000
487.54,1279.4000
487.83,1295.2000
488.11,1294.6000
488.40,1312.8000
488.68,1317.6000
488.97,1302.8000
489.26,1307.0000
489.54,1318.6000
489.83,1316.2000
490.11,1331.2000
490.40,1331.0000
490.68,1347.2000
490.97,1329.8000
491.25,1338.4000
491.54,1327.8000
491.82,1351.6000
492.11,1361.0000
492.39,1376.8000
492.68,1373.4000
492.96,1392.8000
493.24,1375.2000
493.53,1376.8000
493.81,1408.0000
494.10,1382.6000
494.38,1389.8000
494.67,1417.2000
494.95,1431.8000
495.24,1392.0000
495.52,1440.0000
495.81,1431.6000
496.09,1448.0000
496.38,1416.4000
496.66,1461.0000
496.95,1458.8000
497.23,1478.0000
497.51,1464.4000
497.80,1469.2000
498.08,1469.6000
498.37,1481.2000
498.65,1517.6000
498.94,1520.4000
499.22,1500.4000
499.51,1514.2000
499.79,1526.4000
500.07,1519.8000
500.36,1555.6000
500.64,1554.0000
500.93,1546.6000
501.21,1574.2000
501.50,1548.8000
501.78,1586.2000
502.06,1558.8000
502.35,1578.2000
502.63,1592.6000
502.92,1597.2000
503.20,1621.8000
503.48,1638.6000
503.77,1619.2000
504.05,1628.2000
504.34,1635.0000
504.62,1639.8000
504.90,1643.0000
505.19,1669.0000
505.47,1654.6000
505.76,1658.4000
506.04,1667.4000
506.32,1695.6000
506.61,1683.6000
506.89,1693.0000
507.17,1686.2000
507.46,1700.0000
507.74,1718.6000
508.03,1709.4000
508.31,1726.0000
508.59,1728.8000
508.88,1739.0000
509.16,1733.4000
509.44,1739.0000
509.73,1746.2000
510.01,1758.2000
510.29,1749.4000
510.58,1766.2000
510.86,1766.8000
511.14,1793.4000
511.43,1789.8000
511.71,1802.6000
511.99,1782.8000
512.28,1803.0000
512.56,1784.0000
512.84,1813.0000
513.13,1794.2000
513.41,1820.0000
513.69,1825.0000
513.98,1816.6000
514.26,1849.0000
514.54,1830.2000
514.83,1844.8000
515.11,1864.6000
515.39,1863.6000
515.68,1866.4000
515.96,1877.4000
516.24,1848.2000
516.53,1852.2000
516.81,1907.0000
517.09,1850.0000
517.37,1901.4000
517.66,1877.4000
517.94,1919.6000
518.22,1890.8000
518.51,1893.0000
518.79,1919.2000
519.07,1906.0000
519.35,1918.2000
519.64,1913.0000
519.92,1920.2000
520.20,1934.6000
520.48,1938.8000
520.77,1928.6000
521.05,1929.2000
521.33,1936.6000
521.62,1933.2000
521.90,1974.2000
522.18,1934.6000
522.46,1949.6000
522.75,1949.6000
523.03,1947.8000
523.31,1960.0000
523.59,1983.0000
523.88,1966.6000
524.16,1959.0000
524.44,1982.0000
524.72,2000.6000
525.00,1995.0000
525.29,1989.4000
525.57,1989.8000
525.85,1983.6000
526.13,1984.0000
526.42,1983.0000
526.70,2012.8000
526.98,1998.6000
527.26,2017.6000
527.54,1991.6000
527.83,2015.2000
528.11,2032.0000
528.39,2025.4000
