Wavelength (nm),Intensity
394.27,935.6000
394.56,930.2000
394.85,934.8000
395.14,928.4000
395.44,923.4000
395.73,929.6000
396.02,928.2000
396.31,929.6000
396.61,930.8000
396.90,921.4000
397.19,925.6000
397.48,936.6000
397.77,917.4000
398.06,928.0000
398.36,927.2000
398.65,925.2000
398.94,919.6000
399.23,905.8000
399.52,922.6000
399.82,927.0000
400.11,916.6000
400.40,929.6000
400.69,914.6000
400.98,921.8000
401.27,929.8000
401.57,914.2000
401.86,921.0000
402.15,921.4000
402.44,921.6000
402.73,923.2000
403.02,929.4000
403.32,922.2000
403.61,925.4000
403.90,912.8000
404.19,932.6000
404.48,934.6000
404.77,927.6000
405.06,933.2000
405.36,933.4000
405.65,924.4000
405.94,920.0000
406.23,925.2000
406.52,941.8000
406.81,936.4000
407.10,923.4000
407.40,939.8000
407.69,924.8000
407.98,937.4000
408.27,926.6000
408.56,927.0000
408.85,948.0000
409.14,924.4000
409.43,938.6000
409.72,922.4000
410.02,949.2000
410.31,934.4000
410.60,931.4000
410.89,950.6000
411.18,935.8000
411.47,930.0000
411.76,941.8000
412.05,930.6000
412.34,943.4000
412.63,926.4000
412.93,960.8000
413.22,943.4000
413.51,928.0000
413.80,940.2000
414.09,921.8000
414.38,920.6000
414.67,933.8000
414.96,918.0000
415.25,961.2000
415.54,939.6000
415.83,923.0000
416.12,927.0000
416.41,926.2000
416.70,948.8000
417.00,944.8000
417.29,942.0000
417.58,939.6000
417.87,940.4000
418.16,941.0000
418.45,941.4000
418.74,929.2000
419.03,942.8000
419.32,958.0000
419.61,947.8000
419.90,948.2000
420.19,945.6000
420.48,946.2000
420.77,922.8000
421.06,934.6000
421.35,950.8000
421.64,954.4000
421.93,932.8000
422.22,945.6000
422.51,955.6000
422.80,954.8000
423.09,943.2000
423.38,967.6000
423.67,948.0000
423.96,951.0000
424.25,945.4000
424.54,950.8000
424.83,943.2000
425.12,952.2000
425.41,960.0000
425.70,994.0000
425.99,962.8000
426.28,958.8000
426.57,963.4000
426.86,950.6000
427.15,972.8000
427.44,980.8000
427.73,983.2000
428.02,968.2000
428.31,988.0000
428.60,979.4000
428.89,985.4000
429.18,980.6000
429.47,988.6000
429.76,978.2000
430.05,977.0000
430.34,1004.0000
430.63,984.0000
430.92,1007.4000
431.21,1007.2000
431.50,984.6000
431.79,1000.2000
432.08,993.4000
432.37,1010.8000
432.66,1007.0000
432.94,1018.0000
433.23,1022.4000
433.52,1031.8000
433.81,1032.8000
434.10,1057.2000
434.39,1034.4000
434.68,1050.2000
434.97,1036.4000
435.26,1047.0000
435.55,1062.8000
435.84,1055.4000
436.13,1063.0000
436.42,1071.0000
436.71,1069.2000
436.99,1073.2000
437.28,1090.2000
437.57,1096.6000
437.86,1110.4000
438.15,1114.2000
438.44,1102.0000
438.73,1131.6000
439.02,1144.2000
439.31,1150.8000
439.60,1139.8000
439.88,1161.0000
440.17,1169.8000
440.46,1187.0000
440.75,1190.4000
441.04,1190.4000
441.33,1223.8000
441.62,1239.6000
441.91,1242.8000
442.20,1251.6000
442.48,1283.4000
442.77,1302.4000
443.06,1318.4000
443.35,1326.4000
443.64,1354.6000
443.93,1364.8000
444.22,1402.2000
444.50,1441.0000
444.79,1440.8000
445.08,1467.4000
445.37,1478.6000
445.66,1506.6000
445.95,1524.4000
446.24,1545.0000
446.52,1584.0000
446.81,1622.2000
447.10,1626.0000
447.39,1658.0000
447.68,1684.2000
447.97,1709.8000
448.25,1756.6000
448.54,1769.6000
448.83,1784.8000
449.12,1830.2000
449.41,1806.6000
449.69,1853.6000
449.98,1858.8000
450.27,1880.6000
450.56,1894.8000
450.85,1899.8000
451.14,1901.8000
451.42,1911.8000
451.71,1929.4000
452.00,1916.4000
452.29,1922.4000
452.58,1917.8000
452.86,1939.2000
453.15,1925.2000
453.44,1910.0000
453.73,1899.4000
454.01,1893.8000
454.30,1909.6000
454.59,1856.8000
454.88,1845.2000
455.17,1816.4000
455.45,1815.0000
455.74,1818.8000
456.03,1771.4000
456.32,1759.6000
456.60,1735.4000
456.89,1721.4000
457.18,1694.4000
457.47,1671.4000
457.76,1659.6000
458.04,1651.4000
458.33,1630.8000
458.62,1608.0000
458.91,1598.2000
459.19,1583.4000
459.48,1571.4000
459.77,1579.6000
460.06,1560.8000
460.34,1545.2000
460.63,1535.4000
460.92,1526.4000
461.20,1504.0000
461.49,1521.8000
461.78,1493.6000
462.07,1484.2000
462.35,1496.4000
462.64,1488.4000
462.93,1513.2000
463.22,1503.0000
463.50,1490.2000
463.79,1485.8000
464.08,1486.0000
464.36,1461.2000
464.65,1468.8000
464.94,1455.4000
465.22,1460.6000
465.51,1460.8000
465.80,1484.8000
466.09,1450.4000
466.37,1462.0000
466.66,1455.2000
466.95,1414.0000
467.23,1432.6000
467.52,1439.0000
467.81,1441.4000
468.09,1411.0000
468.38,1416.4000
468.67,1428.4000
468.95,1414.2000
469.24,1379.6000
469.53,1403.2000
469.81,1368.4000
470.10,1365.6000
470.39,1354.4000
470.67,1350.0000
470.96,1350.8000
471.25,1345.2000
471.53,1338.4000
471.82,1332.6000
472.11,1324.8000
472.39,1309.6000
472.68,1324.2000
472.97,1295.4000
473.25,1298.6000
473.54,1280.4000
473.82,1288.0000
474.11,1278.0000
474.40,1278.6000
474.68,1293.2000
474.97,1278.0000
475.26,1267.8000
475.54,1252.6000
475.83,1264.2000
476.11,1247.6000
476.40,1249.0000
476.69,1246.2000
476.97,1247.8000
477.26,1255.4000
477.55,1267.4000
477.83,1235.0000
478.12,1248.4000
478.40,1232.6000
478.69,1227.0000
478.98,1234.6000
479.26,1227.2000
479.55,1244.8000
479.83,1236.0000
480.12,1240.0000
480.40,1246.0000
480.69,1233.2000
480.98,1241.0000
481.26,1258.2000
481.55,1249.0000
481.83,1244.4000
482.12,1241.2000
482.41,1247.6000
482.69,1250.2000
482.98,1257.8000
483.26,1273.2000
483.55,1260.2000
483.83,1253.0000
484.12,1261.4000
484.40,1269.6000
484.69,1251.0000
484.98,1275.8000
485.26,1274.4000
485.55,1274.4000
485.83,1260.0000
486.12,1290.8000
486.40,1269.0000
486.69,1278.2000
486.97,1269.4000
487.26,1298.8000
487.54,1300.4000
487.83,1290.4000
488.11,1299.2000
488.40,1314.8000
488.68,1318.4000
488.97,1304.8000
489.26,1302.4000
489.54,1307.8000
489.83,1317.0000
490.11,1320.6000
490.40,1336.8000
490.68,1334.0000
490.97,1321.8000
491.25,1343.0000
491.54,1340.6000
491.82,1350.4000
492.11,1354.0000
492.39,1379.8000
492.68,1365.2000
492.96,1369.2000
493.24,1362.4000
493.53,1374.8000
493.81,1404.0000
494.10,1386.8000
494.38,1399.8000
494.67,1419.0000
494.95,1428.6000
495.24,1418.6000
495.52,1426.6000
495.81,1433.6000
496.09,1459.2000
496.38,1438.4000
496.66,1453.2000
496.95,1458.0000
497.23,1461.8000
497.51,1454.4000
497.80,1472.8000
498.08,1481.2000
498.37,1487.6000
498.65,1512.2000
498.94,1520.6000
499.22,1502.2000
499.51,1514.0000
499.79,1531.4000
500.07,1517.4000
500.36,1552.6000
500.64,1554.8000
500.93,1542.0000
