Wavelength (nm),Intensity
394.27,914.4000
394.56,900.8000
394.85,912.6000
395.14,909.2000
395.44,897.0000
395.73,897.6000
396.02,897.0000
396.31,897.6000
396.61,910.4000
396.90,894.6000
397.19,905.2000
397.48,904.2000
397.77,898.2000
398.06,892.2000
398.36,898.6000
398.65,886.8000
398.94,893.8000
399.23,885.8000
399.52,889.8000
399.82,899.6000
400.11,893.2000
400.40,907.4000
400.69,892.6000
400.98,896.0000
401.27,901.4000
401.57,881.8000
401.86,895.2000
402.15,890.8000
402.44,897.6000
402.73,894.4000
403.02,905.4000
403.32,894.6000
403.61,899.4000
403.90,893.6000
404.19,898.2000
404.48,903.2000
404.77,896.6000
405.06,900.4000
405.36,907.8000
405.65,898.2000
405.94,897.2000
406.23,903.2000
406.52,915.2000
406.81,910.2000
407.10,902.8000
407.40,907.4000
407.69,898.6000
407.98,900.2000
408.27,898.2000
408.56,898.8000
408.85,918.8000
409.14,902.2000
409.43,899.6000
409.72,891.2000
410.02,919.2000
410.31,899.6000
410.60,912.2000
410.89,903.6000
411.18,903.6000
411.47,898.0000
411.76,900.8000
412.05,897.0000
412.34,907.0000
412.63,904.8000
412.93,919.2000
413.22,908.0000
413.51,907.8000
413.80,918.0000
414.09,900.2000
414.38,899.2000
414.67,910.6000
414.96,894.4000
415.25,919.6000
415.54,909.4000
415.83,890.2000
416.12,893.8000
416.41,903.6000
416.70,909.8000
417.00,907.6000
417.29,911.8000
417.58,909.8000
417.87,910.4000
418.16,913.8000
418.45,907.6000
418.74,910.0000
419.03,901.4000
419.32,927.6000
419.61,910.8000
419.90,910.0000
420.19,915.4000
420.48,911.6000
420.77,892.8000
421.06,903.6000
421.35,917.6000
421.64,913.8000
421.93,906.6000
422.22,908.0000
422.51,927.2000
422.80,914.4000
423.09,901.8000
423.38,932.8000
423.67,909.6000
423.96,901.8000
424.25,909.4000
424.54,911.0000
424.83,897.2000
425.12,909.8000
425.41,912.2000
425.70,937.0000
425.99,916.6000
426.28,922.4000
426.57,910.8000
426.86,919.0000
427.15,917.4000
427.44,926.8000
427.73,919.0000
428.02,916.0000
428.31,921.2000
428.60,935.4000
428.89,930.4000
429.18,924.0000
429.47,926.0000
429.76,919.8000
430.05,919.8000
430.34,938.6000
430.63,922.4000
430.92,926.4000
431.21,932.0000
431.50,925.4000
431.79,924.6000
432.08,929.6000
432.37,923.8000
432.66,929.6000
432.94,925.2000
433.23,937.4000
433.52,943.6000
433.81,947.0000
434.10,969.8000
434.39,943.6000
434.68,961.8000
434.97,934.2000
435.26,950.2000
435.55,959.0000
435.84,964.8000
436.13,958.8000
436.42,961.6000
436.71,969.6000
436.99,956.0000
437.28,964.0000
437.57,979.6000
437.86,971.6000
438.15,979.6000
438.44,973.8000
438.73,981.8000
439.02,990.8000
439.31,989.0000
439.60,993.8000
439.88,998.2000
440.17,995.6000
440.46,1002.2000
440.75,1002.6000
441.04,1006.2000
441.33,1026.2000
441.62,1025.6000
441.91,1021.8000
442.20,1037.6000
442.48,1037.2000
442.77,1031.6000
443.06,1053.8000
443.35,1061.0000
443.64,1073.4000
443.93,1073.4000
444.22,1070.2000
444.50,1098.2000
444.79,1100.4000
445.08,1106.4000
445.37,1119.8000
445.66,1108.6000
445.95,1116.6000
446.24,1134.4000
446.52,1154.0000
446.81,1173.8000
447.10,1171.0000
447.39,1186.0000
447.68,1197.0000
447.97,1190.8000
448.25,1222.6000
448.54,1228.4000
448.83,1248.2000
449.12,1258.4000
449.41,1255.2000
449.69,1250.4000
449.98,1256.4000
450.27,1275.4000
450.56,1271.0000
450.85,1285.4000
451.14,1282.4000
451.42,1284.8000
451.71,1301.4000
452.00,1274.4000
452.29,1296.8000
452.58,1282.4000
452.86,1287.6000
453.15,1271.8000
453.44,1274.0000
453.73,1280.6000
454.01,1271.8000
454.30,1296.0000
454.59,1255.6000
454.88,1238.8000
455.17,1252.4000
455.45,1253.2000
455.74,1240.2000
456.03,1226.8000
456.32,1219.4000
456.60,1216.0000
456.89,1194.4000
457.18,1197.6000
457.47,1190.4000
457.76,1175.6000
458.04,1173.4000
458.33,1173.4000
458.62,1173.4000
458.91,1150.0000
459.19,1147.0000
459.48,1150.0000
459.77,1139.8000
460.06,1150.0000
460.34,1149.8000
460.63,1139.8000
460.92,1133.2000
461.20,1128.4000
461.49,1123.8000
461.78,1121.8000
