Wavelength (nm),Intensity
394.27,2048.5000
394.56,1976.5000
394.85,2076.5000
395.14,2021.0000
395.44,2007.5000
395.73,2081.0000
396.02,1891.0000
396.31,1983.0000
396.61,2064.0000
396.90,1942.5000
397.19,2091.0000
397.48,2122.0000
397.77,1956.0000
398.06,2061.0000
398.36,2087.0000
398.65,2039.5000
398.94,2002.5000
399.23,2008.5000
399.52,2014.5000
399.82,2095.0000
400.11,2031.5000
400.40,2137.0000
400.69,1994.0000
400.98,2025.0000
401.27,2193.5000
401.57,1910.5000
401.86,2082.0000
402.15,2004.5000
402.44,2049.0000
402.73,2047.5000
403.02,2190.0000
403.32,1972.5000
403.61,2083.0000
403.90,2017.0000
404.19,2161.5000
404.48,2169.0000
404.77,2122.0000
405.06,2188.5000
405.36,2211.5000
405.65,2128.5000
405.94,1893.0000
406.23,2173.5000
406.52,2203.0000
406.81,2272.5000
407.10,2154.0000
407.40,2117.5000
407.69,2105.5000
407.98,2165.5000
408.27,2084.0000
408.56,1998.0000
408.85,2350.5000
409.14,2012.5000
409.43,2192.5000
409.72,2006.5000
410.02,2388.5000
410.31,2084.0000
410.60,2158.0000
410.89,2259.0000
411.18,2130.0000
411.47,2123.0000
411.76,2137.5000
412.05,2145.5000
412.34,2149.5000
412.63,2091.0000
412.93,2525.5000
413.22,2271.5000
413.51,2099.5000
413.80,2206.5000
414.09,2058.0000
414.38,2091.5000
414.67,2236.5000
414.96,2028.5000
415.25,2464.0000
415.54,2271.5000
415.83,2039.5000
416.12,2062.0000
416.41,2018.0000
416.70,2313.5000
417.00,2241.5000
417.29,2215.5000
417.58,2211.0000
417.87,2162.0000
418.16,2322.5000
418.45,2193.5000
418.74,2168.5000
419.03,2159.5000
419.32,2416.0000
419.61,2276.0000
419.90,2367.5000
420.19,2347.0000
420.48,2250.5000
420.77,2069.0000
421.06,2162.0000
421.35,2261.5000
421.64,2248.5000
421.93,2100.0000
422.22,2209.0000
422.51,2425.0000
422.80,2259.5000
423.09,2207.0000
423.38,2495.5000
423.67,2275.5000
423.96,2222.5000
424.25,2263.5000
424.54,2237.0000
424.83,2080.5000
425.12,2238.5000
425.41,2327.0000
425.70,2789.5000
425.99,2398.5000
426.28,2370.0000
426.57,2356.0000
426.86,2356.5000
427.15,2433.5000
427.44,2562.0000
427.73,2569.0000
428.02,2372.5000
428.31,2489.0000
428.60,2616.5000
428.89,2499.5000
429.18,2446.5000
429.47,2563.0000
429.76,2392.5000
430.05,2421.0000
430.34,2600.5000
430.63,2457.0000
430.92,2710.5000
431.21,2665.0000
431.50,2471.0000
431.79,2539.0000
432.08,2544.0000
432.37,2515.0000
432.66,2660.0000
432.94,2656.5000
433.23,2715.0000
433.52,2803.5000
433.81,2787.0000
434.10,3239.5000
434.39,2788.0000
434.68,3046.0000
434.97,2767.5000
435.26,2825.0000
435.55,2971.5000
435.84,2989.5000
436.13,2997.0000
436.42,3140.5000
436.71,3013.5000
436.99,3046.5000
437.28,3174.5000
437.57,3240.5000
437.86,3139.0000
438.15,3340.5000
438.44,3258.0000
438.73,3397.0000
439.02,3510.0000
439.31,3651.5000
439.60,3449.0000
439.88,3650.5000
440.17,3696.5000
440.46,3863.5000
440.75,3664.5000
441.04,3720.0000
441.33,4050.0000
441.62,4106.0000
441.91,4035.5000
442.20,4153.0000
442.48,4381.0000
442.77,4357.0000
443.06,4586.0000
443.35,4501.5000
443.64,4756.0000
443.93,4805.0000
444.22,4941.5000
444.50,5219.0000
444.79,5225.5000
445.08,5431.0000
445.37,5555.5000
445.66,5550.5000
