Wavelength (nm),Intensity
394.27,2083.5000
394.56,2009.5000
394.85,2052.5000
395.14,1988.0000
395.44,2011.5000
395.73,2050.5000
396.02,1903.5000
396.31,2022.0000
396.61,2053.5000
396.90,1929.5000
397.19,2072.0000
397.48,2134.5000
397.77,1981.0000
398.06,2077.5000
398.36,2089.5000
398.65,2012.0000
398.94,1999.0000
399.23,1948.5000
399.52,2030.5000
399.82,2134.5000
400.11,2056.0000
400.40,2164.0000
400.69,2016.0000
400.98,2042.0000
401.27,2184.0000
401.57,1908.5000
401.86,2104.0000
402.15,1999.0000
402.44,2056.5000
402.73,2061.5000
403.02,2145.0000
403.32,2007.0000
403.61,2051.0000
403.90,2019.0000
404.19,2120.5000
404.48,2175.5000
404.77,2135.0000
405.06,2176.0000
405.36,2235.5000
405.65,2111.0000
405.94,1896.5000
406.23,2180.5000
406.52,2231.5000
406.81,2244.5000
407.10,2134.5000
407.40,2135.0000
407.69,2117.0000
407.98,2174.5000
408.27,2059.0000
408.56,2010.0000
408.85,2336.0000
409.14,2021.5000
409.43,2187.0000
409.72,2010.5000
410.02,2405.5000
410.31,2099.0000
410.60,2152.5000
410.89,2245.5000
411.18,2143.0000
411.47,2079.5000
411.76,2146.0000
412.05,2147.0000
412.34,2165.5000
412.63,2069.0000
412.93,2510.5000
413.22,2307.0000
413.51,2124.0000
413.80,2227.5000
414.09,2065.5000
414.38,2086.0000
414.67,2231.0000
414.96,2056.0000
415.25,2460.5000
415.54,2276.5000
415.83,2030.0000
416.12,2062.5000
416.41,2034.0000
416.70,2309.0000
417.00,2264.0000
417.29,2229.0000
417.58,2211.0000
417.87,2192.0000
418.16,2297.5000
418.45,2159.0000
418.74,2147.0000
419.03,2174.0000
419.32,2392.5000
419.61,2255.5000
419.90,2380.0000
420.19,2289.0000
420.48,2235.5000
420.77,2073.0000
421.06,2172.5000
421.35,2263.5000
421.64,2268.5000
421.93,2129.5000
422.22,2211.0000
422.51,2467.0000
422.80,2276.5000
423.09,2210.0000
423.38,2500.5000
423.67,2304.0000
423.96,2253.0000
424.25,2225.0000
424.54,2219.5000
424.83,2067.0000
425.12,2258.0000
425.41,2322.5000
425.70,2818.5000
425.99,2365.5000
426.28,2355.0000
426.57,2359.5000
426.86,2346.0000
427.15,2434.0000
427.44,2593.5000
427.73,2480.0000
428.02,2362.5000
428.31,2484.0000
428.60,2569.5000
428.89,2480.5000
429.18,2436.0000
429.47,2506.0000
429.76,2336.5000
430.05,2394.5000
430.34,2608.0000
430.63,2441.5000
430.92,2657.5000
431.21,2647.0000
431.50,2466.0000
431.79,2540.0000
432.08,2566.5000
432.37,2552.5000
432.66,2638.5000
432.94,2605.0000
433.23,2733.5000
433.52,2792.0000
433.81,2761.0000
434.10,3229.0000
434.39,2797.5000
434.68,3016.5000
434.97,2737.5000
435.26,2785.0000
435.55,2991.0000
435.84,2968.5000
436.13,2999.0000
436.42,3103.5000
436.71,2987.0000
436.99,3027.0000
437.28,3092.0000
437.57,3166.0000
437.86,3155.5000
438.15,3298.5000
438.44,3195.5000
438.73,3374.5000
439.02,3481.5000
439.31,3595.5000
439.60,3441.0000
439.88,3551.5000
440.17,3627.0000
440.46,3807.5000
440.75,3614.5000
441.04,3662.5000
441.33,4071.5000
441.62,4045.5000
441.91,3948.5000
442.20,4051.0000
442.48,4237.0000
442.77,4243.5000
443.06,4499.5000
443.35,4359.0000
443.64,4680.5000
443.93,4612.0000
444.22,4786.5000
444.50,5075.5000
444.79,5128.5000
445.08,5292.0000
445.37,5413.0000
445.66,5445.0000
445.95,5475.5000
446.24,5623.0000
446.52,5896.5000
446.81,6272.5000
447.10,6055.0000
447.39,6395.5000
