Wavelength (nm),Intensity
394.27,2083.5000
394.56,1991.0000
394.85,2060.0000
395.14,2004.5000
395.44,2016.5000
395.73,2065.5000
396.02,1851.5000
396.31,2016.0000
396.61,2082.0000
396.90,1920.0000
397.19,2098.5000
397.48,2134.5000
397.77,1963.5000
398.06,2080.5000
398.36,2095.5000
398.65,2025.0000
398.94,1997.0000
399.23,1965.5000
399.52,2021.0000
399.82,2099.5000
400.11,2047.0000
400.40,2157.5000
400.69,1989.5000
400.98,2024.0000
401.27,2209.5000
401.57,1886.0000
401.86,2079.5000
402.15,2005.5000
402.44,2013.0000
402.73,2023.5000
403.02,2188.5000
403.32,1974.5000
403.61,2037.5000
403.90,1997.5000
404.19,2140.5000
404.48,2205.0000
404.77,2141.0000
405.06,2181.5000
405.36,2231.5000
405.65,2138.0000
405.94,1893.0000
406.23,2166.5000
406.52,2213.5000
406.81,2241.5000
407.10,2125.0000
407.40,2112.0000
407.69,2092.0000
407.98,2144.5000
408.27,2075.5000
408.56,1959.0000
408.85,2342.0000
409.14,2008.0000
409.43,2167.0000
409.72,2025.5000
410.02,2377.0000
410.31,2074.0000
410.60,2147.0000
410.89,2235.5000
411.18,2130.5000
411.47,2100.0000
411.76,2141.5000
412.05,2142.0000
412.34,2121.5000
412.63,2077.0000
412.93,2471.5000
413.22,2295.5000
413.51,2102.5000
413.80,2219.5000
414.09,2067.5000
414.38,2086.5000
414.67,2255.5000
414.96,2054.0000
415.25,2432.5000
415.54,2259.5000
415.83,2001.0000
416.12,2055.5000
416.41,1988.0000
416.70,2282.0000
417.00,2261.5000
417.29,2195.5000
417.58,2209.5000
417.87,2176.0000
418.16,2320.0000
418.45,2141.5000
418.74,2136.5000
419.03,2122.5000
419.32,2380.5000
419.61,2225.0000
419.90,2335.5000
420.19,2285.0000
420.48,2220.0000
420.77,2046.0000
421.06,2157.0000
421.35,2255.5000
421.64,2238.0000
421.93,2115.0000
422.22,2190.0000
422.51,2396.0000
422.80,2259.5000
423.09,2204.0000
423.38,2470.0000
423.67,2267.5000
423.96,2189.5000
424.25,2200.5000
424.54,2201.5000
424.83,2075.0000
425.12,2211.5000
425.41,2286.5000
425.70,2754.0000
425.99,2336.5000
426.28,2355.0000
426.57,2308.5000
426.86,2294.0000
427.15,2401.5000
427.44,2523.0000
427.73,2441.5000
428.02,2329.0000
428.31,2459.0000
428.60,2536.5000
428.89,2441.0000
429.18,2433.5000
429.47,2465.0000
429.76,2335.0000
430.05,2354.0000
430.34,2552.5000
430.63,2410.5000
430.92,2657.0000
431.21,2593.5000
431.50,2399.0000
431.79,2488.0000
432.08,2448.0000
432.37,2524.0000
432.66,2581.5000
432.94,2579.5000
433.23,2640.5000
433.52,2758.5000
433.81,2714.5000
434.10,3123.5000
434.39,2723.5000
434.68,2925.0000
434.97,2659.0000
435.26,2731.0000
435.55,2891.5000
435.84,2872.5000
436.13,2865.0000
436.42,3003.5000
436.71,2932.5000
436.99,2937.5000
437.28,3018.0000
437.57,3084.0000
437.86,3019.5000
438.15,3166.0000
438.44,3098.5000
438.73,3168.0000
439.02,3366.5000
439.31,3480.5000
439.60,3267.5000
439.88,3423.0000
440.17,3422.0000
440.46,3591.0000
440.75,3471.0000
441.04,3502.5000
441.33,3880.5000
441.62,3876.5000
441.91,3769.5000
442.20,3897.5000
442.48,4077.0000
442.77,4054.0000
443.06,4237.0000
443.35,4141.5000
443.64,4447.5000
443.93,4375.5000
444.22,4593.0000
444.50,4801.0000
444.79,4841.5000
445.08,5001.5000
445.37,5115.5000
445.66,5092.0000
445.95,5161.5000
446.24,5283.5000
446.52,5509.5000
446.81,5910.5000
447.10,5635.0000
447.39,5957.5000
447.68,5947.5000
447.97,6033.5000
448.25,6403.0000
448.54,6528.0000
448.83,6619.5000
449.12,6831.5000
449.41,6677.5000
449.69,6810.5000
449.98,6859.5000
450.27,6929.5000
450.56,6985.5000
450.85,7136.5000
451.14,6999.0000
451.42,7125.5000
451.71,7236.5000
452.00,7123.5000
452.29,7229.0000
452.58,7158.0000
452.86,7169.5000
453.15,7170.0000
453.44,7055.5000
453.73,7127.0000
454.01,6982.0000
454.30,7411.5000
454.59,6782.5000
454.88,6766.5000
455.17,6585.0000
455.45,6646.5000
455.74,6792.5000
456.03,6478.0000
456.32,6353.0000
456.60,6160.0000
456.89,6259.0000
457.18,6026.0000
457.47,5971.5000
457.76,5874.0000
458.04,5875.0000
458.33,5795.5000
458.62,5671.5000
458.91,5444.5000
459.19,5398.0000
459.48,5410.0000
459.77,5281.5000
460.06,5393.5000
460.34,5343.0000
460.63,5282.0000
460.92,5216.5000
461.20,5159.5000
461.49,5205.5000
461.78,5077.0000
462.07,5110.0000
462.35,5182.0000
462.64,5174.5000
462.93,5166.5000
463.22,5258.0000
463.50,5132.0000
463.79,5063.5000
464.08,5192.0000
464.36,5074.0000
464.65,5010.0000
464.94,4963.5000
465.22,5056.5000
465.51,4957.5000
465.80,5180.5000
466.09,4892.0000
466.37,5113.5000
466.66,5102.0000
466.95,4823.5000
467.23,4832.0000
467.52,4875.5000
467.81,5055.5000
468.09,4704.5000
468.38,4811.5000
468.67,4978.5000
468.95,4712.5000
469.24,4532.5000
469.53,4671.0000
469.81,4657.5000
470.10,4525.0000
470.39,4595.0000
470.67,4401.0000
470.96,4555.5000
471.25,4394.5000
471.53,4523.5000
471.82,4367.5000
472.11,4365.0000
472.39,4263.5000
472.68,4304.0000
472.97,4181.5000
473.25,4258.5000
473.54,4156.5000
473.82,4136.5000
474.11,4181.0000
474.40,4171.5000
474.68,4370.0000
474.97,4265.0000
475.26,4085.0000
475.54,3948.0000
475.83,4027.5000
476.11,4024.0000
476.40,4103.5000
476.69,4111.0000
476.97,4105.5000
477.26,4014.5000
477.55,4231.5000
477.83,3813.5000
478.12,3998.0000
478.40,3937.5000
478.69,3963.0000
478.98,3933.5000
479.26,3866.5000
479.55,4039.0000
479.83,3930.5000
480.12,3986.0000
480.40,4062.5000
480.69,3937.0000
480.98,3984.5000
481.26,4151.0000
481.55,3981.5000
