Wavelength (nm),Intensity
394.27,2101.5000
394.56,2008.5000
394.85,2116.0000
395.14,2024.0000
395.44,2074.0000
395.73,2081.5000
396.02,1923.0000
396.31,2061.5000
396.61,2104.5000
396.90,1975.0000
397.19,2139.5000
397.48,2190.5000
397.77,2019.5000
398.06,2095.0000
398.36,2140.0000
398.65,2076.5000
398.94,2047.0000
399.23,2004.5000
399.52,2091.5000
399.82,2146.0000
400.11,2098.0000
400.40,2199.5000
400.69,2023.0000
400.98,2074.5000
401.27,2233.5000
401.57,1922.5000
401.86,2134.5000
402.15,2062.5000
402.44,2102.0000
402.73,2051.5000
403.02,2170.0000
403.32,2051.0000
403.61,2093.0000
403.90,2063.0000
404.19,2183.5000
404.48,2204.5000
404.77,2182.5000
405.06,2214.0000
405.36,2261.0000
405.65,2124.5000
405.94,1910.0000
406.23,2204.0000
406.52,2251.5000
406.81,2293.0000
407.10,2166.0000
407.40,2153.5000
407.69,2130.0000
407.98,2165.5000
408.27,2064.0000
408.56,1999.0000
408.85,2364.5000
409.14,2029.0000
409.43,2171.5000
409.72,2036.0000
410.02,2439.5000
410.31,2132.0000
410.60,2168.5000
410.89,2258.5000
411.18,2120.5000
411.47,2110.5000
411.76,2134.5000
412.05,2148.0000
412.34,2147.0000
412.63,2078.0000
412.93,2493.0000
413.22,2332.0000
413.51,2089.0000
413.80,2234.0000
414.09,2080.0000
414.38,2083.5000
414.67,2245.5000
414.96,2042.0000
415.25,2484.0000
415.54,2286.0000
415.83,2008.5000
416.12,2053.5000
416.41,2016.5000
416.70,2288.5000
417.00,2295.5000
417.29,2224.0000
417.58,2225.5000
417.87,2208.0000
418.16,2305.0000
418.45,2156.5000
418.74,2178.5000
419.03,2130.5000
419.32,2422.0000
419.61,2278.0000
419.90,2348.0000
420.19,2336.0000
420.48,2227.0000
420.77,2073.5000
421.06,2157.5000
421.35,2255.0000
421.64,2230.5000
421.93,2104.5000
422.22,2213.5000
422.51,2412.5000
422.80,2281.5000
423.09,2212.0000
423.38,2481.0000
423.67,2283.5000
423.96,2203.0000
424.25,2223.5000
424.54,2192.0000
424.83,2031.0000
425.12,2228.5000
425.41,2296.5000
425.70,2779.5000
425.99,2343.5000
426.28,2320.5000
426.57,2319.0000
426.86,2296.0000
427.15,2403.5000
427.44,2560.5000
427.73,2465.0000
428.02,2316.0000
428.31,2463.0000
428.60,2560.5000
428.89,2482.0000
429.18,2404.0000
429.47,2507.5000
429.76,2302.5000
430.05,2351.0000
430.34,2578.0000
430.63,2397.5000
430.92,2634.5000
431.21,2573.0000
431.50,2371.0000
431.79,2455.5000
432.08,2438.5000
432.37,2463.0000
432.66,2574.0000
432.94,2525.5000
433.23,2645.5000
433.52,2697.0000
433.81,2668.5000
434.10,3112.0000
434.39,2664.5000
434.68,2907.5000
434.97,2608.5000
435.26,2685.0000
435.55,2800.0000
435.84,2770.0000
436.13,2786.5000
436.42,2932.0000
436.71,2804.5000
436.99,2817.0000
437.28,2906.5000
437.57,2978.0000
437.86,2892.5000
438.15,3038.0000
438.44,2950.5000
438.73,3097.0000
439.02,3165.5000
439.31,3349.0000
439.60,3102.5000
439.88,3224.0000
440.17,3278.0000
440.46,3439.5000
440.75,3275.5000
441.04,3221.0000
441.33,3614.5000
441.62,3571.5000
441.91,3457.5000
442.20,3571.5000
442.48,3731.5000
442.77,3651.0000
443.06,3867.5000
443.35,3733.5000
443.64,3993.5000
443.93,3891.5000
444.22,4073.5000
444.50,4239.5000
444.79,4273.5000
445.08,4402.5000
445.37,4474.5000
445.66,4471.5000
445.95,4408.5000
446.24,4506.5000
446.52,4702.0000
446.81,5078.0000
447.10,4818.5000
447.39,5070.0000
447.68,4989.0000
447.97,4991.0000
448.25,5348.5000
448.54,5421.0000
448.83,5470.0000
449.12,5584.5000
449.41,5439.0000
449.69,5587.0000
449.98,5478.5000
450.27,5553.0000
450.56,5546.0000
450.85,5675.0000
451.14,5424.0000
451.42,5583.0000
451.71,5649.0000
452.00,5590.0000
452.29,5708.0000
452.58,5563.0000
452.86,5567.5000
453.15,5499.5000
453.44,5461.0000
453.73,5565.0000
454.01,5318.0000
454.30,5820.5000
454.59,5130.5000
454.88,5123.0000
455.17,5036.0000
455.45,5041.0000
455.74,5305.0000
456.03,4984.0000
456.32,4886.0000
456.60,4769.0000
456.89,4786.0000
457.18,4582.5000
457.47,4578.0000
457.76,4514.0000
458.04,4479.0000
458.33,4467.0000
458.62,4392.0000
458.91,4201.0000
459.19,4175.5000
459.48,4183.5000
459.77,4117.0000
460.06,4183.5000
460.34,4171.5000
460.63,4128.5000
460.92,4084.5000
461.20,4032.0000
461.49,4060.5000
461.78,3912.5000
462.07,3899.0000
462.35,4019.0000
462.64,3962.0000
462.93,4073.0000
463.22,4097.0000
463.50,4000.5000
463.79,3938.0000
464.08,4035.0000
464.36,3943.5000
464.65,3836.0000
464.94,3877.0000
465.22,3891.0000
465.51,3827.5000
465.80,4082.5000
466.09,3729.0000
466.37,3944.0000
466.66,3943.0000
466.95,3678.5000
467.23,3703.0000
467.52,3733.5000
467.81,3932.0000
468.09,3605.0000
468.38,3710.0000
468.67,3880.5000
468.95,3632.5000
469.24,3497.0000
469.53,3697.0000
469.81,3638.5000
470.10,3506.0000
470.39,3567.0000
470.67,3428.0000
470.96,3565.0000
471.25,3395.0000
471.53,3553.5000
471.82,3435.5000
472.11,3416.5000
472.39,3287.0000
472.68,3349.5000
472.97,3188.5000
473.25,3359.5000
473.54,3240.0000
473.82,3233.5000
474.11,3324.5000
474.40,3283.0000
474.68,3512.5000
474.97,3394.5000
475.26,3242.5000
475.54,3114.0000
475.83,3204.5000
476.11,3160.0000
476.40,3336.0000
476.69,3287.0000
476.97,3195.5000
477.26,3178.0000
477.55,3347.0000
477.83,2980.5000
478.12,3153.5000
478.40,3115.5000
478.69,3108.5000
478.98,3137.0000
479.26,3003.0000
479.55,3194.5000
479.83,3096.5000
480.12,3173.0000
480.40,3230.0000
480.69,3066.0000
480.98,3138.0000
481.26,3320.0000
481.55,3073.5000
481.83,3213.5000
482.12,3120.0000
482.41,3158.5000
482.69,3049.0000
482.98,3219.5000
483.26,3355.5000
483.55,3079.0000
483.83,3149.0000
484.12,3127.0000
484.40,3176.5000
484.69,2981.5000
484.98,3256.0000
485.26,3139.5000
485.55,3137.5000
485.83,2961.0000
486.12,3212.5000
486.40,3197.0000
486.69,3117.5000
486.97,3174.5000
487.26,3224.0000
487.54,3177.0000
487.83,3187.5000
488.11,3208.5000
488.40,3455.0000
488.68,3432.0000
488.97,3243.5000
489.26,3287.5000
489.54,3387.0000
489.83,3297.0000
490.11,3286.5000
490.40,3362.5000
490.68,3340.5000
490.97,3158.5000
491.25,3330.0000
491.54,3248.0000
491.82,3443.0000
492.11,3374.0000
492.39,3506.0000
492.68,3326.5000
492.96,3573.5000
493.24,3286.0000
493.53,3304.0000
493.81,3608.5000
494.10,3339.0000
494.38,3324.5000
494.67,3421.0000
494.95,3702.5000
495.24,3340.0000
495.52,3615.5000
495.81,3634.0000
496.09,3589.5000
496.38,3406.0000
496.66,3687.5000
496.95,3650.5000
497.23,3565.0000
497.51,3521.5000
497.80,3639.5000
498.08,3608.5000
498.37,3551.0000
498.65,3713.0000
498.94,3898.5000
499.22,3713.5000
499.51,3693.0000
499.79,3719.5000
500.07,3615.0000
500.36,3918.0000
500.64,3923.5000
500.93,3727.5000
501.21,3995.5000
501.50,3773.5000
501.78,3890.5000
502.06,3680.5000
502.35,3808.5000
502.63,3762.5000
502.92,3949.5000
503.20,4079.0000
503.48,4246.0000
503.77,3968.0000
504.05,3974.0000
504.34,3854.5000
504.62,4078.5000
504.90,4049.5000
505.19,4251.0000
505.47,4022.5000
505.76,4017.0000
506.04,4012.0000
506.32,4198.5000
506.61,3982.0000
506.89,4241.0000
507.17,4118.5000
507.46,4142.5000
507.74,4315.0000
508.03,4160.0000
508.31,4222.0000
508.59,4029.0000
508.88,4156.0000
509.16,4272.0000
509.44,4317.5000
509.73,4363.5000
510.01,4269.5000
510.29,4326.0000
510.58,4217.5000
510.86,4338.5000
511.14,4528.5000
511.43,4358.5000
511.71,4372.0000
511.99,4410.5000
512.28,4400.0000
512.56,4207.0000
512.84,4358.0000
513.13,4300.0000
513.41,4424.0000
513.69,4458.5000
513.98,4251.0000
514.26,4495.5000
514.54,4439.5000
514.83,4519.0000
515.11,4537.0000
515.39,4609.0000
515.68,4640.5000
515.96,4485.5000
516.24,4412.5000
516.53,4403.5000
516.81,4751.0000
517.09,4365.0000
517.37,4474.5000
517.66,4540.0000
517.94,4494.5000
518.22,4622.0000
518.51,4457.5000
518.79,4628.0000
519.07,4503.5000
519.35,4589.0000
519.64,4722.0000
519.92,4725.5000
520.20,4778.0000
520.48,4763.5000
520.77,4689.0000
521.05,4601.0000
521.33,4488.5000
521.62,4547.5000
521.90,4729.5000
522.18,4652.5000
522.46,4732.5000
522.75,4652.0000
523.03,4775.5000
523.31,4685.5000
523.59,5030.0000
523.88,4866.0000
524.16,4767.5000
524.44,4988.5000
524.72,5050.5000
