Wavelength (nm),Intensity
394.27,2072.5000
394.56,2036.0000
394.85,2100.0000
395.14,2030.0000
395.44,2057.0000
395.73,2092.0000
396.02,1908.5000
396.31,2056.0000
396.61,2133.5000
396.90,1979.5000
397.19,2147.5000
397.48,2191.0000
397.77,2029.5000
398.06,2114.5000
398.36,2129.5000
398.65,2068.5000
398.94,2073.0000
399.23,2005.5000
399.52,2042.0000
399.82,2122.5000
400.11,2064.0000
400.40,2172.5000
400.69,2032.5000
400.98,2049.5000
401.27,2213.0000
401.57,1937.5000
401.86,2122.0000
402.15,2039.0000
402.44,2083.5000
402.73,2080.0000
403.02,2206.5000
403.32,2052.0000
403.61,2078.5000
403.90,2057.5000
404.19,2179.0000
404.48,2210.0000
404.77,2179.5000
405.06,2197.0000
405.36,2249.5000
405.65,2136.0000
405.94,1909.5000
406.23,2175.5000
406.52,2242.5000
406.81,2287.5000
407.10,2172.0000
407.40,2124.5000
407.69,2118.5000
407.98,2166.0000
408.27,2085.5000
408.56,1973.0000
408.85,2381.0000
409.14,2027.0000
409.43,2159.5000
409.72,2038.5000
410.02,2408.5000
410.31,2134.0000
410.60,2154.0000
410.89,2267.5000
411.18,2150.0000
411.47,2107.0000
411.76,2128.5000
412.05,2125.5000
412.34,2138.5000
412.63,2048.0000
412.93,2504.5000
413.22,2315.0000
413.51,2089.5000
413.80,2243.0000
414.09,2064.0000
414.38,2093.0000
414.67,2209.0000
414.96,2037.5000
415.25,2464.0000
415.54,2265.5000
415.83,1986.5000
416.12,2040.5000
416.41,2014.5000
416.70,2284.5000
417.00,2279.5000
417.29,2207.0000
417.58,2221.0000
417.87,2152.0000
418.16,2311.0000
418.45,2169.5000
418.74,2151.5000
419.03,2156.5000
419.32,2383.0000
419.61,2314.5000
419.90,2341.5000
420.19,2336.5000
420.48,2216.0000
420.77,2060.5000
421.06,2159.0000
421.35,2220.5000
421.64,2260.0000
421.93,2106.5000
422.22,2199.0000
422.51,2449.5000
422.80,2281.0000
423.09,2172.0000
423.38,2484.0000
423.67,2237.5000
423.96,2235.5000
424.25,2233.5000
424.54,2183.0000
424.83,2052.5000
425.12,2201.5000
425.41,2275.5000
425.70,2778.5000
425.99,2329.0000
426.28,2350.0000
426.57,2339.5000
426.86,2293.5000
427.15,2402.0000
427.44,2535.5000
427.73,2469.5000
428.02,2310.5000
428.31,2437.5000
428.60,2535.5000
428.89,2441.5000
429.18,2425.5000
429.47,2474.0000
429.76,2324.5000
430.05,2330.5000
430.34,2581.5000
430.63,2370.5000
430.92,2601.5000
431.21,2594.0000
431.50,2344.0000
431.79,2449.5000
432.08,2461.0000
432.37,2446.5000
432.66,2516.5000
432.94,2514.0000
433.23,2620.5000
433.52,2659.0000
433.81,2657.0000
434.10,3083.0000
434.39,2675.5000
434.68,2866.0000
434.97,2570.0000
435.26,2660.0000
435.55,2801.0000
435.84,2784.5000
436.13,2793.0000
436.42,2941.0000
436.71,2780.5000
436.99,2834.0000
437.28,2863.0000
437.57,3006.5000
437.86,2862.5000
438.15,3040.0000
438.44,2952.0000
438.73,3092.5000
439.02,3202.0000
439.31,3318.0000
439.60,3113.0000
439.88,3224.5000
440.17,3250.0000
440.46,3438.5000
440.75,3253.5000
441.04,3248.0000
441.33,3632.0000
441.62,3584.5000
441.91,3456.0000
442.20,3598.5000
442.48,3660.0000
442.77,3639.0000
443.06,3850.0000
443.35,3764.0000
443.64,3989.0000
443.93,3915.0000
444.22,4024.5000
444.50,4270.0000
444.79,4263.5000
445.08,4391.0000
445.37,4499.0000
445.66,4403.0000
445.95,4462.5000
446.24,4471.5000
446.52,4699.0000
446.81,5002.5000
447.10,4734.0000
447.39,5049.0000
447.68,4956.5000
447.97,4974.0000
448.25,5351.0000
448.54,5412.5000
448.83,5468.5000
449.12,5614.0000
449.41,5474.5000
449.69,5519.0000
449.98,5477.0000
450.27,5584.0000
450.56,5533.5000
450.85,5652.0000
451.14,5453.5000
451.42,5620.5000
451.71,5664.0000
452.00,5607.5000
452.29,5722.5000
452.58,5522.5000
452.86,5533.0000
453.15,5552.0000
453.44,5442.5000
453.73,5541.0000
454.01,5324.0000
454.30,5779.0000
454.59,5131.0000
454.88,5166.0000
455.17,5025.5000
455.45,5104.0000
455.74,5255.0000
456.03,4975.5000
456.32,4824.0000
456.60,4798.5000
456.89,4784.5000
457.18,4614.0000
457.47,4561.5000
457.76,4548.0000
458.04,4469.0000
458.33,4457.0000
458.62,4372.0000
458.91,4184.5000
459.19,4157.5000
459.48,4142.5000
459.77,4106.0000
460.06,4189.0000
460.34,4131.0000
460.63,4084.5000
460.92,4059.0000
461.20,3995.0000
461.49,4063.5000
461.78,3918.0000
462.07,3926.0000
462.35,3986.0000
462.64,3961.0000
462.93,4074.5000
463.22,4081.0000
463.50,3999.0000
463.79,3973.0000
464.08,4015.5000
464.36,3884.0000
464.65,3839.5000
464.94,3871.0000
465.22,3873.5000
465.51,3823.5000
465.80,4046.5000
466.09,3738.5000
466.37,3930.5000
466.66,3962.5000
466.95,3686.5000
467.23,3691.0000
467.52,3711.0000
467.81,3915.0000
468.09,3592.0000
468.38,3676.0000
468.67,3869.5000
468.95,3630.0000
469.24,3498.5000
469.53,3622.0000
469.81,3675.0000
470.10,3505.5000
470.39,3550.5000
470.67,3384.0000
470.96,3532.5000
471.25,3368.5000
471.53,3528.5000
471.82,3382.0000
472.11,3345.5000
472.39,3272.0000
472.68,3303.0000
472.97,3248.0000
473.25,3295.0000
473.54,3241.5000
473.82,3232.5000
474.11,3339.5000
474.40,3232.0000
474.68,3494.0000
474.97,3390.5000
475.26,3239.0000
475.54,3014.5000
475.83,3154.5000
476.11,3156.0000
476.40,3244.0000
476.69,3209.5000
476.97,3208.0000
477.26,3121.0000
477.55,3357.0000
477.83,2987.5000
478.12,3110.5000
478.40,3080.0000
478.69,3045.5000
478.98,3100.0000
479.26,2997.5000
479.55,3176.0000
479.83,3076.5000
480.12,3126.5000
480.40,3191.5000
480.69,3024.5000
480.98,3082.5000
481.26,3309.0000
481.55,3064.0000
481.83,3156.5000
482.12,3120.0000
482.41,3128.0000
482.69,3027.5000
482.98,3182.0000
483.26,3317.0000
483.55,3082.0000
483.83,3097.5000
484.12,3109.5000
484.40,3135.5000
484.69,2972.0000
484.98,3237.0000
485.26,3103.5000
485.55,3138.5000
485.83,2962.5000
486.12,3187.5000
486.40,3114.0000
486.69,3114.5000
486.97,3148.0000
487.26,3203.0000
487.54,3152.5000
487.83,3218.5000
488.11,3226.0000
488.40,3432.0000
488.68,3357.0000
488.97,3221.0000
489.26,3255.0000
489.54,3368.0000
489.83,3287.5000
490.11,3254.5000
490.40,3331.5000
490.68,3277.5000
490.97,3150.5000
491.25,3369.5000
491.54,3214.0000
491.82,3433.5000
492.11,3334.5000
492.39,3479.0000
492.68,3277.5000
492.96,3534.0000
493.24,3239.5000
493.53,3324.0000
493.81,3608.0000
494.10,3314.5000
494.38,3304.0000
494.67,3401.5000
494.95,3673.5000
495.24,3372.0000
495.52,3564.0000
495.81,3618.0000
496.09,3630.5000
496.38,3427.5000
496.66,3686.5000
496.95,3559.0000
497.23,3559.0000
497.51,3477.0000
497.80,3595.5000
498.08,3563.0000
498.37,3527.0000
498.65,3760.0000
498.94,3873.0000
499.22,3666.5000
499.51,3659.5000
499.79,3694.5000
500.07,3615.0000
500.36,3892.0000
500.64,3877.0000
500.93,3721.5000
501.21,3986.0000
501.50,3775.0000
501.78,3855.5000
502.06,3675.5000
502.35,3801.5000
502.63,3775.5000
502.92,3970.5000
503.20,4050.5000
503.48,4203.5000
503.77,3988.5000
504.05,3969.5000
504.34,3851.0000
504.62,4111.0000
504.90,4079.5000
505.19,4181.0000
505.47,3991.5000
505.76,3967.5000
506.04,4040.5000
506.32,4208.5000
506.61,3984.5000
506.89,4265.5000
507.17,4107.5000
507.46,4145.0000
507.74,4279.0000
508.03,4179.0000
508.31,4224.5000
508.59,4036.5000
508.88,4135.0000
509.16,4239.0000
509.44,4354.0000
509.73,4350.0000
510.01,4292.0000
510.29,4312.0000
510.58,4200.5000
510.86,4381.5000
511.14,4524.0000
511.43,4357.0000
511.71,4450.5000
511.99,4403.0000
512.28,4349.5000
512.56,4251.0000
512.84,4355.0000
513.13,4263.0000
513.41,4370.0000
513.69,4440.5000
513.98,4239.5000
514.26,4519.5000
514.54,4444.5000
514.83,4466.5000
515.11,4521.0000
515.39,4577.5000
515.68,4615.5000
