Wavelength (nm),Intensity
394.27,2142.0000
394.56,2035.5000
394.85,2125.0000
395.14,2044.5000
395.44,2061.5000
395.73,2108.5000
396.02,1906.5000
396.31,2031.0000
396.61,2121.0000
396.90,1976.5000
397.19,2143.0000
397.48,2170.0000
397.77,2000.0000
398.06,2114.5000
398.36,2103.0000
398.65,2062.0000
398.94,2037.0000
399.23,1994.0000
399.52,2056.0000
399.82,2148.5000
400.11,2071.0000
400.40,2173.0000
400.69,2017.5000
400.98,2074.5000
401.27,2202.0000
401.57,1909.5000
401.86,2139.0000
402.15,2010.5000
402.44,2063.0000
402.73,2079.5000
403.02,2191.5000
403.32,1978.0000
403.61,2057.0000
403.90,2044.0000
404.19,2136.5000
404.48,2188.5000
404.77,2122.0000
405.06,2191.0000
405.36,2210.5000
405.65,2134.0000
405.94,1911.0000
406.23,2224.5000
406.52,2240.0000
406.81,2262.0000
407.10,2168.0000
407.40,2145.5000
407.69,2088.0000
407.98,2173.0000
408.27,2076.5000
408.56,1981.5000
408.85,2359.5000
409.14,2027.5000
409.43,2185.0000
409.72,2030.0000
410.02,2401.5000
410.31,2094.5000
410.60,2164.5000
410.89,2244.5000
411.18,2119.0000
411.47,2088.5000
411.76,2143.0000
412.05,2105.0000
412.34,2129.0000
412.63,2081.0000
412.93,2503.0000
413.22,2280.0000
413.51,2081.5000
413.80,2219.5000
414.09,2049.0000
414.38,2080.0000
414.67,2219.0000
414.96,2018.5000
415.25,2461.5000
415.54,2236.0000
415.83,2010.5000
416.12,2003.5000
416.41,1983.0000
416.70,2271.5000
417.00,2252.5000
417.29,2179.0000
417.58,2182.5000
417.87,2148.0000
418.16,2282.5000
418.45,2125.0000
418.74,2129.5000
419.03,2111.0000
419.32,2397.0000
419.61,2250.0000
419.90,2323.5000
420.19,2291.5000
420.48,2194.0000
420.77,2042.5000
421.06,2110.5000
421.35,2230.5000
421.64,2224.5000
421.93,2052.0000
422.22,2192.0000
422.51,2402.0000
422.80,2238.0000
423.09,2169.0000
423.38,2511.0000
423.67,2257.0000
423.96,2207.0000
424.25,2204.5000
424.54,2181.5000
424.83,2065.5000
425.12,2201.5000
425.41,2284.5000
425.70,2819.0000
425.99,2356.5000
426.28,2345.5000
426.57,2358.5000
426.86,2285.0000
427.15,2400.0000
427.44,2587.0000
427.73,2502.5000
428.02,2347.0000
428.31,2480.5000
428.60,2598.5000
428.89,2454.5000
429.18,2453.0000
429.47,2518.0000
429.76,2374.0000
430.05,2438.0000
430.34,2635.0000
430.63,2475.5000
430.92,2724.5000
431.21,2658.5000
431.50,2457.0000
431.79,2513.0000
432.08,2549.5000
432.37,2555.0000
432.66,2638.0000
432.94,2624.5000
433.23,2749.5000
433.52,2854.5000
433.81,2797.5000
434.10,3247.5000
434.39,2822.0000
434.68,3067.5000
434.97,2789.0000
435.26,2830.5000
435.55,3009.5000
435.84,2987.5000
436.13,3029.5000
436.42,3120.0000
436.71,3064.0000
436.99,3068.5000
437.28,3166.5000
437.57,3270.5000
437.86,3164.5000
438.15,3373.5000
438.44,3277.0000
438.73,3463.0000
439.02,3544.0000
439.31,3699.0000
439.60,3528.5000
439.88,3683.5000
440.17,3693.0000
440.46,3892.0000
440.75,3713.5000
441.04,3762.0000
441.33,4263.5000
441.62,4235.5000
441.91,4117.0000
442.20,4281.5000
442.48,4470.0000
442.77,4404.5000
443.06,4762.5000
443.35,4599.0000
443.64,4891.5000
443.93,4831.5000
444.22,5090.0000
444.50,5390.0000
444.79,5399.5000
445.08,5662.5000
445.37,5801.5000
445.66,5817.0000
445.95,5868.5000
446.24,6109.5000
446.52,6363.0000
446.81,6776.5000
447.10,6545.0000
447.39,6900.0000
447.68,6955.5000
447.97,6986.0000
448.25,7508.0000
448.54,7610.0000
448.83,7750.5000
449.12,8030.5000
449.41,7888.0000
449.69,8048.0000
449.98,8075.0000
450.27,8254.0000
450.56,8248.0000
450.85,8480.5000
451.14,8308.0000
451.42,8398.5000
451.71,8548.5000
452.00,8471.5000
452.29,8625.0000
452.58,8484.0000
452.86,8483.0000
453.15,8496.0000
453.44,8481.5000
453.73,8448.0000
454.01,8284.0000
454.30,8662.0000
454.59,8005.0000
454.88,7979.5000
455.17,7798.5000
455.45,7780.5000
455.74,7959.0000
456.03,7658.5000
456.32,7393.5000
456.60,7227.0000
456.89,7255.0000
457.18,7055.5000
457.47,6885.0000
457.76,6883.5000
458.04,6784.0000
